days,cases_white,cases_black
1,2,0
2,1,0
3,3,1
4,3,1
5,1,0
6,4,1
7,1,0
8,1,3
9,1,0
10,3,2
11,1,1
12,2,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,1
19,0,0
20,0,0
21,0,1
