days,zoonotic,nonzoonotic
1,2,0
2,4,2
3,5,2
4,2,1
5,1,0
6,3,0
7,0,0
8,1,3
9,1,0
10,1,0
11,1,3
12,2,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
