param,median,mean,q2.5,q97.5,dist
meanlog,1.88881,1.8873772,1.59258425,2.17749425,Lognormal
sdlog,0.689995,0.7017611895,0.5090851,0.960612925,Lognormal
shape,2.362345,2.38547555525,1.41313675,3.5003695,Gamma
rate,0.29832,0.3031566457,0.16128985,0.471005725,Gamma
